artwork_id,artist_id,title,year_created,medium,dimensions,description,collection_id
ART189,ARS042,Misty Amber Echo,1994,Mixed media,299 x 88 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL118
ART190,ARS020,Misty Emerald Harbor,2012,Digital print,215 x 101 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL088
ART191,ARS045,Whispering Blue Dream No. 19,1931,Ink on paper,187 x 94 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART192,ARS021,Distant Red City No. 62,2017,Acrylic on canvas,51 x 130 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL009
ART193,ARS132,Shimmering Blue Sea No. 33,2011,Oil on canvas,63 x 184 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART194,ARS032,Luminous Indigo Horizon No. 45,1972,Marble sculpture,76 x 104 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL090
ART195,ARS091,Hidden Scarlet Landscape No. 73,1996,Photograph,80 x 37 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL056
ART196,ARS050,Whispering Emerald Shadow No. 13,1971,Bronze sculpture,288 x 273 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL048
ART197,ARS113,Misty Emerald Symphony,2015,Ink on paper,139 x 293 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL105
ART198,ARS029,Celestial Red Mountain No. 18,2006,Photograph,214 x 177 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL011
ART199,ARS022,Celestial Violet Dream,2015,Ink on paper,189 x 257 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL105
ART200,ARS075,Distant Amber City,2011,Oil on canvas,218 x 121 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART201,ARS027,Radiant Violet Light,1959,Mixed media,91 x 103 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL103
ART202,ARS027,Hidden Red Symphony,1992,Acrylic on canvas,132 x 236 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL060
ART203,ARS109,Secret Sapphire Figure,2019,Digital print,234 x 212 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL104
ART204,ARS125,Infinite Sapphire Echo,1904,Digital print,92 x 158 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL128
ART205,ARS060,Eternal Blue Dream,1992,Watercolor on paper,285 x 43 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL098
ART206,ARS084,Eternal Sapphire Landscape,2009,Digital print,69 x 296 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL120
ART207,ARS052,Whispering Violet Sea,1940,Oil on canvas,205 x 39 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL111
ART208,ARS031,Radiant Violet Silhouette,1991,Oil on canvas,265 x 48 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL046
ART209,ARS143,Whispering Emerald Sea,1958,Acrylic on canvas,229 x 279 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART210,ARS142,Melancholic Indigo Sea,2021,Oil on canvas,110 x 289 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL101
ART211,ARS068,Secret Indigo Reflection,1946,Oil on canvas,175 x 194 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL008
ART212,ARS012,Eternal Ivory Symphony,1941,Mixed media,43 x 204 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART213,ARS110,Frozen Ivory Path,1931,Marble sculpture,156 x 150 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL022
ART214,ARS017,Whispering Red Silhouette No. 69,2008,Mixed media,49 x 265 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL108
ART215,ARS069,Silent Violet Figure No. 41,1992,Installation,229 x 195 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL026
ART216,ARS126,Misty Amber Silhouette,1957,Installation,203 x 115 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL077
ART217,ARS094,Distant Amber Sea,1965,Marble sculpture,139 x 177 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL013
ART218,ARS077,Shimmering Onyx River,1980,Marble sculpture,78 x 202 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL018
ART219,ARS146,Infinite Violet Path No. 10,1985,Marble sculpture,184 x 288 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL111
ART220,ARS139,Celestial Amber Path,2017,Oil on canvas,262 x 122 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL048
ART221,ARS148,Secret Amber Mountain,1967,Photograph,252 x 60 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL052
ART222,ARS094,Broken Emerald River No. 39,2011,Acrylic on canvas,240 x 193 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL053
ART223,ARS106,Vibrant Sapphire Garden,1961,Ink on paper,150 x 237 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL030
ART224,ARS039,Luminous Blue River,1956,Photograph,267 x 278 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL112
ART225,ARS109,Crimson Amber Garden,1979,Photograph,162 x 172 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL046
ART226,ARS011,Secret Blue Forest,1932,Acrylic on canvas,190 x 182 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL105
ART227,ARS094,Golden Onyx Echo No. 74,2020,Installation,91 x 297 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL065
ART228,ARS128,Golden Amber Landscape No. 41,2003,Mixed media,229 x 150 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL056
ART229,ARS037,Misty Emerald Horizon,2013,Installation,239 x 160 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART230,ARS126,Melancholic Ivory Dream,1936,Marble sculpture,273 x 156 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL038
ART231,ARS093,Secret Ivory Memory No. 78,2002,Marble sculpture,57 x 152 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL099
ART232,ARS080,Frozen Red Shadow,1965,Mixed media,228 x 34 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL066
ART233,ARS078,Golden Amber Memory No. 21,1968,Oil on canvas,192 x 238 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL071
ART234,ARS021,Celestial Onyx Dream,2006,Bronze sculpture,289 x 63 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL108
ART235,ARS141,Celestial Violet Harbor,2013,Watercolor on paper,124 x 257 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL001
ART236,ARS103,Luminous Sapphire Silhouette,1904,Photograph,110 x 157 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART237,ARS106,Celestial Violet Sea,1931,Installation,163 x 118 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL084
ART238,ARS073,Luminous Red Path,1927,Oil on canvas,223 x 144 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL006
ART239,ARS143,Forgotten Red Mountain No. 22,1891,Installation,235 x 249 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL067
ART240,ARS039,Golden Ivory Garden,1932,Mixed media,37 x 299 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL117
ART241,ARS127,Misty Amber Horizon No. 35,1896,Watercolor on paper,283 x 225 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL111
ART242,ARS053,Luminous Sapphire Horizon,1955,Marble sculpture,104 x 44 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL068
ART243,ARS061,Broken Amber Symphony,1985,Oil on canvas,264 x 73 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL121
ART244,ARS035,Celestial Onyx Horizon,2008,Acrylic on canvas,161 x 67 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL016
ART245,ARS014,Celestial Amber Sea,1892,Photograph,32 x 159 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL098
ART246,ARS078,Radiant Ivory Echo,1975,Marble sculpture,51 x 121 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL044
ART247,ARS129,Secret Ivory Mountain No. 41,2014,Marble sculpture,251 x 102 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL030
ART248,ARS081,Crimson Emerald Sea,1945,Marble sculpture,214 x 250 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL068
ART249,ARS068,Infinite Ivory Path,1941,Photograph,281 x 107 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL113
ART250,ARS014,Luminous Emerald Forest No. 5,1947,Digital print,163 x 113 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL112
ART251,ARS030,Secret Blue Mountain,1930,Digital print,278 x 264 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL029
ART252,ARS038,Misty Ivory City No. 37,1925,Marble sculpture,116 x 290 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL055
ART253,ARS150,Silent Scarlet Figure No. 10,1940,Bronze sculpture,285 x 78 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL007
ART254,ARS073,Misty Onyx Symphony,1890,Oil on canvas,195 x 108 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL021
ART255,ARS118,Secret Violet Sky,1905,Installation,198 x 52 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART256,ARS084,Shimmering Emerald Horizon,2014,Oil on canvas,174 x 195 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL019
ART257,ARS141,Radiant Red Reflection,1987,Oil on canvas,234 x 75 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL054
ART258,ARS042,Radiant Onyx Memory,2023,Marble sculpture,108 x 91 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART259,ARS111,Misty Ivory Light No. 58,1955,Installation,273 x 167 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL109
ART260,ARS024,Distant Ivory Landscape No. 55,1949,Bronze sculpture,50 x 292 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART261,ARS058,Eternal Violet Light,1991,Digital print,72 x 178 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL112
ART262,ARS021,Secret Sapphire Echo,2009,Mixed media,157 x 297 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL076
ART263,ARS146,Crimson Scarlet City,1967,Mixed media,85 x 291 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL106
ART264,ARS025,Broken Indigo Sky,1942,Oil on canvas,71 x 287 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL030
ART265,ARS119,Hidden Emerald Reflection No. 54,1951,Digital print,190 x 262 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL068
ART266,ARS088,Hidden Amber Garden No. 78,2006,Photograph,84 x 252 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL005
ART267,ARS002,Radiant Red Harbor No. 62,1885,Marble sculpture,237 x 279 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL093
ART268,ARS102,Whispering Red Echo No. 25,1991,Oil on canvas,38 x 126 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL054
ART269,ARS124,Eternal Amber Path,1951,Marble sculpture,127 x 74 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART270,ARS038,Secret Onyx Harbor No. 20,1996,Digital print,257 x 278 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL006
ART271,ARS116,Shimmering Amber Horizon,2017,Oil on canvas,56 x 200 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL027
ART272,ARS111,Distant Violet Figure,1966,Digital print,178 x 48 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL103
ART273,ARS125,Infinite Indigo Landscape,1955,Oil on canvas,279 x 148 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL005
ART274,ARS109,Shimmering Ivory Shadow No. 54,2008,Installation,89 x 283 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL089
ART275,ARS115,Distant Blue Garden,2012,Digital print,270 x 206 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL060
ART276,ARS130,Forgotten Indigo Silhouette,2019,Marble sculpture,269 x 97 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL100
ART277,ARS107,Frozen Violet Garden,1935,Watercolor on paper,74 x 277 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL045
ART278,ARS052,Hidden Indigo Sea No. 54,1937,Ink on paper,185 x 150 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL013
ART279,ARS005,Frozen Sapphire Symphony,1930,Acrylic on canvas,287 x 46 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL087
ART280,ARS111,Misty Indigo River No. 29,1962,Bronze sculpture,162 x 204 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL012
ART281,ARS143,Vibrant Emerald Light,1905,Digital print,55 x 254 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL029
ART282,ARS028,Misty Scarlet Forest,1979,Bronze sculpture,90 x 135 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL041
ART283,ARS075,Broken Scarlet Sea,1987,Bronze sculpture,108 x 216 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL036
ART284,ARS032,Luminous Violet Path,1971,Bronze sculpture,155 x 272 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL074
ART285,ARS130,Hidden Red Sky,2022,Ink on paper,242 x 214 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL039
ART286,ARS136,Distant Amber Echo,1943,Photograph,239 x 264 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL093
ART287,ARS008,Broken Emerald Harbor,1700,Bronze sculpture,73 x 203 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL103
ART288,ARS043,Distant Blue Reflection,1933,Photograph,107 x 59 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL076
ART289,ARS108,Radiant Scarlet Memory,1942,Marble sculpture,206 x 34 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL038
ART290,ARS104,Broken Amber Shadow,2022,Ink on paper,206 x 237 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL078
ART291,ARS022,Crimson Scarlet Silhouette,1994,Ink on paper,296 x 175 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL024
ART292,ARS131,Melancholic Sapphire Light,1992,Oil on canvas,111 x 41 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL067
ART293,ARS062,Whispering Onyx Light No. 8,2018,Bronze sculpture,162 x 289 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL032
ART294,ARS013,Misty Violet Memory,1905,Ink on paper,262 x 203 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL060
ART295,ARS090,Whispering Sapphire Figure,2010,Ink on paper,223 x 296 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL027
ART296,ARS084,Infinite Indigo Horizon,1958,Watercolor on paper,262 x 80 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL109
ART297,ARS106,Golden Red Forest,1931,Digital print,273 x 139 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL020
ART298,ARS095,Infinite Onyx Figure,1971,Mixed media,165 x 285 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL113
ART299,ARS126,Secret Violet Echo,1941,Ink on paper,300 x 90 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL117
ART300,ARS122,Crimson Emerald Shadow,1974,Acrylic on canvas,239 x 86 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL095
ART301,ARS147,Whispering Blue Light No. 48,1982,Marble sculpture,221 x 185 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL125
ART302,ARS008,Eternal Emerald Figure,1701,Watercolor on paper,175 x 140 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART303,ARS001,Misty Scarlet Symphony No. 6,1701,Installation,276 x 188 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART304,ARS087,Radiant Violet Landscape No. 18,1987,Digital print,265 x 260 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL039
ART305,ARS084,Golden Indigo Landscape,1941,Photograph,232 x 203 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL012
ART306,ARS114,Vibrant Red Garden,1995,Ink on paper,93 x 73 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL014
ART307,ARS146,Infinite Amber Sea,1904,Oil on canvas,91 x 122 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL071
ART308,ARS053,Forgotten Indigo Mountain No. 69,1980,Installation,194 x 235 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL012
ART309,ARS126,Silent Ivory Path No. 4,1942,Marble sculpture,192 x 225 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL024
ART310,ARS030,Misty Scarlet Garden,1906,Watercolor on paper,160 x 75 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL079
ART311,ARS105,Hidden Blue Forest,1978,Mixed media,193 x 102 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL083
ART312,ARS067,Radiant Red Forest No. 77,1931,Photograph,282 x 290 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL099
ART313,ARS030,Distant Red Sea No. 30,1896,Ink on paper,167 x 81 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL033
ART314,ARS078,Shimmering Onyx Mountain No. 65,1953,Photograph,102 x 221 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL044
ART315,ARS063,Melancholic Onyx Shadow,1888,Watercolor on paper,267 x 178 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL001
ART316,ARS016,Secret Sapphire Landscape,2007,Installation,209 x 138 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL073
ART317,ARS012,Hidden Scarlet Figure No. 12,1929,Photograph,92 x 101 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL072
ART318,ARS111,Luminous Indigo Light,1951,Digital print,205 x 163 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL070
ART319,ARS063,Celestial Ivory Horizon,1930,Oil on canvas,38 x 98 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL122
ART320,ARS002,Silent Emerald Path,1886,Acrylic on canvas,231 x 71 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL008
ART321,ARS114,Misty Ivory Reflection,2001,Oil on canvas,228 x 120 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL032
ART322,ARS119,Frozen Amber Mountain No. 3,1949,Acrylic on canvas,213 x 128 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL078
ART323,ARS057,Forgotten Violet Symphony No. 64,2004,Ink on paper,137 x 33 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL102
ART324,ARS029,Vibrant Indigo Light,2010,Acrylic on canvas,129 x 119 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL033
ART325,ARS017,Eternal Sapphire Figure,2014,Oil on canvas,170 x 128 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL065
ART326,ARS144,Broken Blue Path,1948,Mixed media,195 x 251 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL071
ART327,ARS032,Infinite Violet Sea,2019,Oil on canvas,52 x 144 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL072
ART328,ARS108,Melancholic Violet Silhouette No. 25,1944,Ink on paper,71 x 42 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL109
ART329,ARS020,Forgotten Amber Garden,2005,Digital print,79 x 44 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL111
ART330,ARS007,Shimmering Ivory Sky No. 61,1700,Bronze sculpture,204 x 57 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL061
ART331,ARS019,Golden Blue Forest,2010,Digital print,95 x 61 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART332,ARS078,Distant Red Dream,1975,Mixed media,56 x 180 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL103
ART333,ARS025,Distant Amber Landscape,1944,Mixed media,35 x 262 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART334,ARS110,Misty Ivory Harbor,1942,Acrylic on canvas,128 x 85 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL004
ART335,ARS018,Shimmering Amber Figure No. 66,2004,Digital print,211 x 245 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL114
ART336,ARS048,Forgotten Emerald Forest No. 40,2019,Bronze sculpture,253 x 292 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL080
ART337,ARS150,Melancholic Emerald Echo,1952,Oil on canvas,179 x 218 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL038
ART338,ARS015,Forgotten Scarlet Shadow,1884,Ink on paper,206 x 130 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL052
ART339,ARS018,Broken Indigo Silhouette,2014,Mixed media,201 x 183 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL085
ART340,ARS042,Misty Violet Forest,1982,Digital print,144 x 147 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL055
ART341,ARS062,Secret Ivory Reflection No. 24,2013,Acrylic on canvas,215 x 35 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL092
ART342,ARS008,Melancholic Red Echo,1700,Oil on canvas,214 x 52 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL051
ART343,ARS051,Whispering Emerald River,1973,Watercolor on paper,203 x 155 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL051
ART344,ARS006,Hidden Sapphire Dream No. 18,1970,Ink on paper,86 x 203 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL079
ART345,ARS117,Forgotten Ivory Symphony,2009,Acrylic on canvas,252 x 63 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL037
ART346,ARS034,Luminous Amber Shadow,1992,Ink on paper,192 x 249 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL012
ART347,ARS049,Melancholic Sapphire Echo,1999,Photograph,173 x 94 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART348,ARS054,Golden Violet Landscape No. 66,1995,Digital print,290 x 221 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART349,ARS046,Celestial Ivory Light,1933,Installation,272 x 167 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL103
ART350,ARS150,Crimson Amber River,1966,Ink on paper,150 x 232 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL079
ART351,ARS109,Radiant Indigo Garden,2001,Watercolor on paper,160 x 73 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL022
ART352,ARS076,Broken Scarlet Symphony No. 6,1899,Mixed media,292 x 202 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART353,ARS120,Distant Onyx Symphony,1999,Oil on canvas,169 x 225 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL046
ART354,ARS114,Forgotten Sapphire City,1966,Photograph,180 x 286 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL021
ART355,ARS071,Forgotten Red Dream No. 5,1979,Ink on paper,132 x 200 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL085
ART356,ARS065,Whispering Sapphire Horizon,1987,Marble sculpture,163 x 34 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL073
ART357,ARS089,Radiant Onyx Figure,1909,Watercolor on paper,271 x 292 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL102
ART358,ARS059,Forgotten Amber Sea No. 76,1978,Bronze sculpture,269 x 266 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL022
ART359,ARS081,Luminous Onyx Path No. 58,1963,Watercolor on paper,45 x 221 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL033
ART360,ARS079,Silent Violet Symphony,1988,Photograph,247 x 236 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL077
ART361,ARS084,Shimmering Blue Figure,1929,Installation,108 x 199 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL101
ART362,ARS098,Luminous Onyx City,1997,Bronze sculpture,273 x 85 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL116
ART363,ARS078,Golden Emerald Dream,1951,Oil on canvas,46 x 280 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL048
ART364,ARS051,Golden Onyx Memory No. 38,2018,Oil on canvas,65 x 262 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL095
ART365,ARS133,Silent Emerald Silhouette,1981,Acrylic on canvas,230 x 110 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL034
ART366,ARS138,Distant Violet City,1951,Ink on paper,135 x 96 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL080
ART367,ARS111,Secret Emerald Landscape,1950,Digital print,133 x 287 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL071
ART368,ARS052,Silent Emerald Mountain No. 52,1944,Bronze sculpture,156 x 299 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART369,ARS118,Broken Indigo Forest,1923,Marble sculpture,263 x 207 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL101
ART370,ARS045,Distant Amber Garden,1983,Watercolor on paper,264 x 226 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART371,ARS101,Melancholic Sapphire City,2021,Mixed media,141 x 282 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL032
ART372,ARS095,Golden Red Light,1953,Watercolor on paper,239 x 260 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL065
ART373,ARS054,Infinite Blue Mountain No. 60,1995,Ink on paper,205 x 234 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL102
ART374,ARS010,Silent Sapphire Dream,1905,Digital print,197 x 267 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL119
ART375,ARS018,Golden Scarlet River,2010,Marble sculpture,101 x 271 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL042
ART376,ARS044,Silent Indigo Dream No. 16,1992,Acrylic on canvas,230 x 116 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL003
ART377,ARS070,Eternal Violet Symphony No. 5,1988,Oil on canvas,140 x 256 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL027
