treatment_id,artwork_id,treatment_type,start_date,end_date,cost_usd,treatment_notes,staff_id
TRT243,ART486,Structural Stabilization,2015-09-08,2015-11-15,17282.81,Structural Stabilization carried out due to acidic backing board; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF533
TRT244,ART430,Re-framing,2016-04-10,2016-05-02,34168.95,Re-framing carried out due to light damage and fading; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF285
TRT245,ART382,Inpainting,2014-09-10,2014-12-17,33174.81,Inpainting carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF391
TRT246,ART677,Varnish Removal,2014-06-21,2014-09-25,29702.13,Varnish Removal carried out due to yellowed varnish; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF029
TRT247,ART411,Varnish Removal,2018-09-30,2018-11-26,24189.99,Varnish Removal carried out due to yellowed varnish; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF097
TRT248,ART293,Structural Stabilization,2022-02-18,2022-03-03,3314.74,Structural Stabilization carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF514
TRT249,ART669,Surface Cleaning,2015-07-17,2015-09-27,7319.08,Surface Cleaning carried out due to light damage and fading; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF146
TRT250,ART924,Surface Cleaning,2010-09-14,2010-12-16,32829.41,Surface Cleaning carried out due to canvas deformation; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF043
TRT251,ART553,Surface Cleaning,2020-11-11,2020-12-13,32352.19,Surface Cleaning carried out due to canvas deformation; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF181
TRT252,ART076,Re-framing,2021-10-03,2021-11-24,7914.57,Re-framing carried out due to biological contamination; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF366
TRT253,ART747,Structural Stabilization,2014-08-15,2014-10-23,21106.74,Structural Stabilization carried out due to light damage and fading; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF149
TRT254,ART702,Inpainting,2011-02-01,2011-04-25,23412.19,Inpainting carried out due to yellowed varnish; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF035
TRT255,ART677,Inpainting,2015-07-10,2015-10-15,4691.73,Inpainting carried out due to canvas deformation; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF267
TRT256,ART179,Varnish Removal,2016-12-15,2017-01-18,16987.18,Varnish Removal carried out due to light damage and fading; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF182
TRT257,ART724,Varnish Removal,2015-06-04,2015-08-26,3598.74,Varnish Removal carried out due to canvas deformation; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF541
TRT258,ART476,Deacidification,2012-01-19,2012-03-24,23022.32,Deacidification carried out due to panel cracking; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF221
TRT259,ART004,Varnish Removal,2017-05-30,2017-06-17,2670.21,Varnish Removal carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF063
TRT260,ART147,Pest Treatment,2019-09-18,2019-10-11,1817.15,Pest Treatment carried out due to flaking paint layers; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF185
TRT261,ART622,Inpainting,2021-11-13,2022-03-12,30798.54,Inpainting carried out due to frame instability; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF181
TRT262,ART877,Pest Treatment,2013-11-12,2014-01-20,19141.63,Pest Treatment carried out due to panel cracking; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF403
TRT263,ART150,Re-framing,2011-07-25,2011-10-23,8063.79,Re-framing carried out due to previous restoration discoloration; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF388
TRT264,ART065,Deacidification,2015-06-09,2015-07-17,9306.01,Deacidification carried out due to canvas deformation; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF344
TRT265,ART206,Deacidification,2011-08-22,2011-11-05,16605.69,Deacidification carried out due to previous restoration discoloration; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF135
TRT266,ART153,Varnish Removal,2021-08-26,2021-12-08,21181.72,Varnish Removal carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF406
TRT267,ART163,Re-framing,2019-01-03,2019-04-02,21137.15,Re-framing carried out due to panel cracking; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF550
TRT268,ART603,Structural Stabilization,2012-06-27,2012-10-23,13403.83,Structural Stabilization carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF228
TRT269,ART985,Re-framing,2010-05-17,2010-08-19,21596.78,Re-framing carried out due to panel cracking; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF119
TRT270,ART008,Deacidification,2011-08-28,2011-09-23,9220.21,Deacidification carried out due to yellowed varnish; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF111
TRT271,ART483,Structural Stabilization,2015-07-07,2015-07-18,327.22,Structural Stabilization carried out due to canvas deformation; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF153
TRT272,ART104,Pest Treatment,2010-06-17,2010-06-25,21114.1,Pest Treatment carried out due to acidic backing board; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF228
TRT273,ART935,Deacidification,2023-09-20,2024-01-16,28125.67,Deacidification carried out due to light damage and fading; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF114
TRT274,ART689,Re-framing,2016-08-20,2016-08-27,23098.67,Re-framing carried out due to canvas deformation; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF314
TRT275,ART993,Surface Cleaning,2017-04-22,2017-07-22,28383.66,Surface Cleaning carried out due to panel cracking; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF428
TRT276,ART958,Inpainting,2020-08-21,2020-09-21,1529.98,Inpainting carried out due to frame instability; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF297
TRT277,ART346,Re-framing,2021-05-02,2021-08-19,13731.36,Re-framing carried out due to biological contamination; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF111
TRT278,ART310,Surface Cleaning,2023-05-28,2023-07-26,23812.8,Surface Cleaning carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF553
TRT279,ART331,Surface Cleaning,2022-10-20,2022-10-29,23794.44,Surface Cleaning carried out due to frame instability; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF197
TRT280,ART047,Inpainting,2021-01-04,2021-05-02,25351.34,Inpainting carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF477
TRT281,ART133,Deacidification,2019-06-12,2019-09-29,1413.62,Deacidification carried out due to previous restoration discoloration; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF380
TRT282,ART763,Varnish Removal,2016-09-27,2016-12-13,33162.7,Varnish Removal carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF022
TRT283,ART379,Varnish Removal,2010-12-26,2011-01-05,577.36,Varnish Removal carried out due to frame instability; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF505
TRT284,ART732,Re-framing,2019-08-11,2019-10-14,29278.48,Re-framing carried out due to biological contamination; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF391
TRT285,ART426,Deacidification,2014-03-07,2014-04-24,18991.28,Deacidification carried out due to panel cracking; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF053
TRT286,ART762,Deacidification,2023-05-26,2023-08-18,12418.01,Deacidification carried out due to frame instability; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF489
TRT287,ART654,Surface Cleaning,2010-01-09,2010-03-22,20263.08,Surface Cleaning carried out due to panel cracking; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF387
TRT288,ART783,Pest Treatment,2014-05-04,2014-08-11,34565.4,Pest Treatment carried out due to yellowed varnish; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF294
TRT289,ART626,Deacidification,2023-11-02,2024-02-17,17811.32,Deacidification carried out due to previous restoration discoloration; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF003
TRT290,ART238,Structural Stabilization,2020-05-21,2020-08-05,5385.73,Structural Stabilization carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF204
TRT291,ART960,Surface Cleaning,2016-04-14,2016-05-10,3631.62,Surface Cleaning carried out due to surface dust and grime; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF156
TRT292,ART057,Pest Treatment,2018-11-27,2018-12-15,24364.31,Pest Treatment carried out due to acidic backing board; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF092
TRT293,ART799,Surface Cleaning,2016-12-12,2017-01-18,9740.37,Surface Cleaning carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF089
TRT294,ART988,Deacidification,2010-01-17,2010-01-26,20280.9,Deacidification carried out due to light damage and fading; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF470
TRT295,ART269,Structural Stabilization,2020-08-15,2020-11-08,22088.96,Structural Stabilization carried out due to surface dust and grime; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF150
TRT296,ART013,Pest Treatment,2015-12-11,2016-02-29,6095.17,Pest Treatment carried out due to frame instability; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF296
TRT297,ART699,Deacidification,2013-05-16,2013-07-23,2132.93,Deacidification carried out due to light damage and fading; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF354
TRT298,ART590,Surface Cleaning,2021-02-08,2021-05-18,25936.78,Surface Cleaning carried out due to surface dust and grime; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF158
TRT299,ART589,Pest Treatment,2019-01-14,2019-05-13,27355.16,Pest Treatment carried out due to frame instability; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF452
TRT300,ART974,Inpainting,2015-03-08,2015-04-22,24541.53,Inpainting carried out due to acidic backing board; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF100
TRT301,ART412,Re-framing,2019-08-28,2019-11-19,13977.09,Re-framing carried out due to biological contamination; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF371
TRT302,ART329,Surface Cleaning,2016-03-05,2016-05-09,29359.48,Surface Cleaning carried out due to light damage and fading; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF408
TRT303,ART770,Surface Cleaning,2023-03-09,2023-05-14,24487.21,Surface Cleaning carried out due to flaking paint layers; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF463
TRT304,ART402,Deacidification,2016-03-26,2016-04-09,19095.99,Deacidification carried out due to surface dust and grime; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF240
TRT305,ART1000,Inpainting,2015-08-31,2015-10-11,13223.53,Inpainting carried out due to acidic backing board; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF492
TRT306,ART081,Deacidification,2023-05-23,2023-07-04,4734.24,Deacidification carried out due to yellowed varnish; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF306
TRT307,ART911,Varnish Removal,2020-11-12,2021-01-01,7264.18,Varnish Removal carried out due to biological contamination; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF164
TRT308,ART935,Surface Cleaning,2012-05-24,2012-08-23,14268.19,Surface Cleaning carried out due to acidic backing board; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF238
TRT309,ART569,Re-framing,2012-05-15,2012-08-29,29341.27,Re-framing carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF079
TRT310,ART876,Surface Cleaning,2021-12-24,2022-01-26,32995.54,Surface Cleaning carried out due to flaking paint layers; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF404
TRT311,ART728,Surface Cleaning,2022-08-08,2022-11-13,4450.18,Surface Cleaning carried out due to frame instability; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF276
TRT312,ART736,Pest Treatment,2015-07-03,2015-09-29,1959.37,Pest Treatment carried out due to biological contamination; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF405
TRT313,ART777,Pest Treatment,2012-03-13,2012-07-06,16968.79,Pest Treatment carried out due to acidic backing board; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF191
TRT314,ART613,Deacidification,2018-02-25,2018-04-14,32541.54,Deacidification carried out due to canvas deformation; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF003
TRT315,ART571,Surface Cleaning,2021-05-01,2021-06-10,33951.43,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF248
TRT316,ART174,Structural Stabilization,2022-03-21,2022-04-11,12745.84,Structural Stabilization carried out due to yellowed varnish; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF068
TRT317,ART443,Inpainting,2012-04-20,2012-05-27,18240.2,Inpainting carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF391
TRT318,ART161,Surface Cleaning,2016-07-05,2016-10-09,2760.36,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF159
TRT319,ART393,Surface Cleaning,2015-11-03,2015-11-16,23778.76,Surface Cleaning carried out due to flaking paint layers; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF166
TRT320,ART120,Surface Cleaning,2011-01-29,2011-04-08,24526.4,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF344
TRT321,ART269,Re-framing,2013-04-30,2013-07-19,20407.84,Re-framing carried out due to surface dust and grime; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF372
TRT322,ART600,Structural Stabilization,2014-03-30,2014-06-07,32182.77,Structural Stabilization carried out due to canvas deformation; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF280
TRT323,ART973,Structural Stabilization,2015-04-14,2015-06-27,11099.84,Structural Stabilization carried out due to biological contamination; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF202
TRT324,ART273,Inpainting,2023-07-23,2023-08-12,9183.82,Inpainting carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF187
TRT325,ART839,Pest Treatment,2016-08-22,2016-09-28,3415.26,Pest Treatment carried out due to acidic backing board; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF182
TRT326,ART678,Deacidification,2018-05-31,2018-07-14,2920.94,Deacidification carried out due to panel cracking; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF049
TRT327,ART181,Structural Stabilization,2015-10-26,2015-11-05,12744.54,Structural Stabilization carried out due to flaking paint layers; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF240
TRT328,ART394,Surface Cleaning,2022-11-04,2023-03-02,13279.97,Surface Cleaning carried out due to biological contamination; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF175
TRT329,ART591,Inpainting,2013-12-24,2014-02-14,5835.6,Inpainting carried out due to previous restoration discoloration; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF063
TRT330,ART209,Re-framing,2017-05-24,2017-06-23,11047.04,Re-framing carried out due to panel cracking; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF477
TRT331,ART343,Pest Treatment,2016-05-11,2016-06-07,9597.17,Pest Treatment carried out due to frame instability; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF532
TRT332,ART637,Inpainting,2019-09-18,2019-10-01,24266.95,Inpainting carried out due to previous restoration discoloration; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF129
TRT333,ART495,Inpainting,2015-08-20,2015-10-02,15050.09,Inpainting carried out due to acidic backing board; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF290
TRT334,ART876,Inpainting,2021-10-15,2021-12-03,411.4,Inpainting carried out due to panel cracking; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF366
TRT335,ART673,Surface Cleaning,2020-07-22,2020-08-05,15400.38,Surface Cleaning carried out due to previous restoration discoloration; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF085
TRT336,ART810,Deacidification,2016-12-19,2017-01-12,1976.82,Deacidification carried out due to surface dust and grime; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF257
TRT337,ART438,Re-framing,2017-04-12,2017-06-05,17949.87,Re-framing carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF085
TRT338,ART589,Structural Stabilization,2016-04-28,2016-05-23,2678.99,Structural Stabilization carried out due to panel cracking; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF033
TRT339,ART736,Varnish Removal,2014-10-27,2014-11-05,8719.96,Varnish Removal carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF456
TRT340,ART060,Inpainting,2021-09-27,2022-01-04,925.11,Inpainting carried out due to surface dust and grime; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF076
TRT341,ART170,Pest Treatment,2020-05-11,2020-07-24,32587.61,Pest Treatment carried out due to biological contamination; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF415
TRT342,ART990,Varnish Removal,2011-09-07,2011-12-26,21455.76,Varnish Removal carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF021
TRT343,ART846,Pest Treatment,2021-08-14,2021-11-04,30938.79,Pest Treatment carried out due to surface dust and grime; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF319
TRT344,ART453,Structural Stabilization,2010-11-18,2011-02-01,27650.33,Structural Stabilization carried out due to yellowed varnish; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF436
TRT345,ART039,Inpainting,2017-05-13,2017-08-22,9325.49,Inpainting carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF193
TRT346,ART614,Varnish Removal,2020-06-29,2020-08-29,27800.75,Varnish Removal carried out due to biological contamination; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF152
TRT347,ART911,Structural Stabilization,2016-08-11,2016-08-27,12946.94,Structural Stabilization carried out due to acidic backing board; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF018
TRT348,ART891,Structural Stabilization,2016-03-20,2016-05-21,5271.68,Structural Stabilization carried out due to yellowed varnish; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF177
TRT349,ART283,Inpainting,2022-05-31,2022-09-16,12604.07,Inpainting carried out due to previous restoration discoloration; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF322
TRT350,ART081,Structural Stabilization,2011-05-10,2011-06-21,4944.39,Structural Stabilization carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF016
TRT351,ART075,Varnish Removal,2012-05-26,2012-06-15,24252.03,Varnish Removal carried out due to panel cracking; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF103
TRT352,ART848,Deacidification,2013-02-27,2013-04-18,25941.9,Deacidification carried out due to previous restoration discoloration; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF088
TRT353,ART849,Deacidification,2016-06-27,2016-07-25,16526.34,Deacidification carried out due to panel cracking; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF084
TRT354,ART689,Surface Cleaning,2010-09-16,2010-10-02,23558.39,Surface Cleaning carried out due to biological contamination; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF446
TRT355,ART673,Re-framing,2018-11-25,2019-02-08,16987.19,Re-framing carried out due to previous restoration discoloration; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF258
TRT356,ART123,Surface Cleaning,2015-02-13,2015-03-07,26504.24,Surface Cleaning carried out due to canvas deformation; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF247
TRT357,ART296,Surface Cleaning,2019-02-02,2019-03-29,31965.74,Surface Cleaning carried out due to surface dust and grime; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF153
TRT358,ART594,Inpainting,2013-02-04,2013-03-25,19042.32,Inpainting carried out due to acidic backing board; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF096
TRT359,ART742,Deacidification,2018-10-27,2018-11-16,31410.07,Deacidification carried out due to panel cracking; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF357
TRT360,ART735,Varnish Removal,2015-09-04,2015-10-06,4900.22,Varnish Removal carried out due to frame instability; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF023
TRT361,ART310,Pest Treatment,2019-02-20,2019-06-12,3190.72,Pest Treatment carried out due to previous restoration discoloration; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF217
TRT362,ART841,Structural Stabilization,2021-02-08,2021-04-20,5600.96,Structural Stabilization carried out due to flaking paint layers; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF544
TRT363,ART334,Surface Cleaning,2015-01-28,2015-02-25,2384.99,Surface Cleaning carried out due to flaking paint layers; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF004
TRT364,ART718,Inpainting,2012-05-18,2012-09-07,8537.06,Inpainting carried out due to acidic backing board; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF300
TRT365,ART135,Pest Treatment,2016-10-16,2016-12-06,8311.56,Pest Treatment carried out due to frame instability; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF213
TRT366,ART384,Structural Stabilization,2015-02-23,2015-03-17,22913.36,Structural Stabilization carried out due to acidic backing board; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF024
TRT367,ART984,Re-framing,2021-01-29,2021-04-15,10332.09,Re-framing carried out due to canvas deformation; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF293
TRT368,ART945,Varnish Removal,2011-12-16,2012-02-17,27660.09,Varnish Removal carried out due to surface dust and grime; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF050
TRT369,ART371,Re-framing,2015-09-12,2015-12-16,28072.74,Re-framing carried out due to surface dust and grime; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF142
TRT370,ART913,Re-framing,2021-03-18,2021-04-20,5190.11,Re-framing carried out due to light damage and fading; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF455
TRT371,ART342,Pest Treatment,2017-01-17,2017-03-20,8514.02,Pest Treatment carried out due to previous restoration discoloration; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF009
TRT372,ART350,Deacidification,2023-06-02,2023-07-03,8415.68,Deacidification carried out due to panel cracking; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF298
TRT373,ART711,Varnish Removal,2011-02-23,2011-05-26,20114.71,Varnish Removal carried out due to surface dust and grime; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF128
TRT374,ART508,Inpainting,2015-04-10,2015-05-19,18594.35,Inpainting carried out due to surface dust and grime; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF474
TRT375,ART283,Surface Cleaning,2012-07-02,2012-08-07,1838.84,Surface Cleaning carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF537
TRT376,ART040,Surface Cleaning,2010-05-19,2010-07-28,4879.67,Surface Cleaning carried out due to canvas deformation; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF304
TRT377,ART222,Re-framing,2014-01-09,2014-01-18,6395.79,Re-framing carried out due to surface dust and grime; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF129
TRT378,ART230,Deacidification,2013-12-23,2014-01-16,32655.63,Deacidification carried out due to flaking paint layers; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF321
TRT379,ART236,Re-framing,2020-02-20,2020-06-10,15014.9,Re-framing carried out due to previous restoration discoloration; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF308
TRT380,ART351,Re-framing,2013-09-20,2013-12-12,1120.99,Re-framing carried out due to frame instability; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF238
TRT381,ART408,Varnish Removal,2016-10-22,2016-11-06,20437.93,Varnish Removal carried out due to panel cracking; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF373
TRT382,ART848,Structural Stabilization,2018-08-24,2018-11-24,2840.4,Structural Stabilization carried out due to yellowed varnish; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF086
TRT383,ART234,Inpainting,2011-09-03,2011-12-30,6959.16,Inpainting carried out due to flaking paint layers; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF250
TRT384,ART512,Inpainting,2016-02-07,2016-03-23,27173.74,Inpainting carried out due to acidic backing board; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF407
TRT385,ART830,Varnish Removal,2020-02-15,2020-05-22,1616.46,Varnish Removal carried out due to light damage and fading; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF531
TRT386,ART051,Re-framing,2016-08-23,2016-12-21,26860.76,Re-framing carried out due to flaking paint layers; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF063
TRT387,ART708,Varnish Removal,2016-11-11,2017-02-09,31196.38,Varnish Removal carried out due to canvas deformation; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF280
TRT388,ART261,Re-framing,2011-12-24,2012-03-01,14936.2,Re-framing carried out due to biological contamination; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF045
TRT389,ART979,Inpainting,2023-10-19,2023-12-27,33349.16,Inpainting carried out due to frame instability; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF219
TRT390,ART487,Inpainting,2023-11-05,2024-03-02,10152.31,Inpainting carried out due to flaking paint layers; treatment resulted in secured structural support. Documentation and photographs were added to the conservation record.,STF359
TRT391,ART958,Deacidification,2013-08-06,2013-11-18,19518.32,Deacidification carried out due to acidic backing board; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF463
TRT392,ART759,Structural Stabilization,2013-09-01,2013-11-04,16702.54,Structural Stabilization carried out due to biological contamination; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF351
TRT393,ART631,Surface Cleaning,2023-02-18,2023-05-05,18179.78,Surface Cleaning carried out due to biological contamination; treatment resulted in improved legibility of image. Documentation and photographs were added to the conservation record.,STF531
